host_ip,qtd_vulns,score_medio,score_max,cvss_medio,epss_medio,exposicao,qtd_cisa,qtd_cve_trend,meses_aberto_max,cluster,perfil_risco
192.168.0.16,3,13.866666666666667,18.6,5.433333333333334,0.0,3,0,0,0.0,1,Alto
192.168.0.163,5,14.760000000000002,22.6,5.88,0.002,3,0,0,4.0,0,Crítico
192.168.0.17,9,17.866666666666667,23.9,7.133333333333334,0.01,3,1,0,5.0,0,Crítico
192.168.0.172,45,21.513333333333335,32.2,8.697777777777778,0.002,3,9,0,5.0,0,Crítico
192.168.0.175,45,21.482222222222223,32.2,8.682222222222224,0.002,3,9,0,0.0,1,Alto
192.168.0.18,47,21.427659574468084,32.2,8.67872340425532,0.0019148936170212765,3,9,0,5.0,0,Crítico
192.168.0.180,44,21.352272727272727,32.2,8.604545454545455,0.002045454545454545,3,9,0,5.0,0,Crítico
192.168.0.182,49,21.379591836734697,32.2,8.622448979591837,0.003061224489795918,3,10,0,0.0,1,Alto
192.168.0.19,6,17.666666666666668,22.6,7.333333333333333,0.0016666666666666668,3,0,0,3.0,0,Crítico
192.168.0.190,19,21.04736842105263,27.0,8.0,0.04263157894736842,3,7,0,3.0,0,Crítico
192.168.0.192,35,21.625714285714285,29.6,8.38857142857143,0.055714285714285716,3,11,0,0.0,1,Alto
192.168.0.20,1,18.6,18.6,7.8,0.0,3,0,0,0.0,1,Alto
192.168.0.21,56,20.87142857142857,32.2,8.439285714285715,0.003035714285714286,3,10,0,5.0,0,Crítico
192.168.0.210,19,17.19473684210526,22.6,7.0894736842105255,0.00368421052631579,3,0,0,5.0,0,Crítico
192.168.0.213,3,16.266666666666666,18.6,6.633333333333333,0.0,3,0,0,4.0,0,Crítico
192.168.0.214,1,18.6,18.6,7.8,0.0,3,0,0,0.0,1,Alto
192.168.0.215,23,20.01304347826087,27.0,7.665217391304348,0.03260869565217391,3,7,0,1.0,1,Alto
192.168.0.217,45,21.602222222222224,32.2,8.742222222222223,0.002,3,9,0,2.0,1,Alto
192.168.0.218,2,19.200000000000003,19.8,8.1,0.0,3,0,0,0.0,1,Alto
192.168.0.22,3,20.333333333333332,22.6,8.666666666666666,0.0,3,0,0,0.0,1,Alto
192.168.0.23,53,19.920754716981133,30.3,7.650943396226415,0.07924528301886793,3,12,0,5.0,0,Crítico
192.168.0.244,3,16.266666666666666,18.6,6.633333333333333,0.0,3,0,0,0.0,1,Alto
192.168.0.248,9,19.944444444444443,30.3,7.933333333333334,0.10666666666666666,3,1,0,5.0,0,Crítico
192.168.0.250,3,18.8,19.8,7.8999999999999995,0.0,3,0,0,0.0,1,Alto
192.168.0.254,1,3.0,3.0,0.0,0.0,3,0,0,5.0,3,Baixo
192.168.0.27,48,21.102083333333336,32.2,8.527083333333334,0.001875,3,9,0,5.0,0,Crítico
192.168.0.28,43,21.602325581395352,32.2,8.716279069767442,0.002093023255813953,3,9,0,5.0,0,Crítico
192.168.0.3,3,16.266666666666666,18.6,6.633333333333333,0.0,3,0,0,2.0,1,Alto
192.168.0.30,1,18.6,18.6,7.8,0.0,3,0,0,0.0,1,Alto
192.168.0.37,52,20.817307692307693,32.2,8.425,0.0019230769230769232,3,9,0,0.0,1,Alto
192.168.0.4,49,21.15714285714286,32.2,8.56530612244898,0.0020408163265306124,3,9,0,5.0,0,Crítico
192.168.0.45,9,18.9,30.3,7.411111111111111,0.10666666666666666,3,1,0,5.0,0,Crítico
192.168.0.46,6,19.1,22.6,8.049999999999999,0.0,3,0,0,2.0,1,Alto
192.168.0.47,11,19.20909090909091,23.9,7.863636363636363,0.005454545454545454,3,1,0,5.0,0,Crítico
192.168.0.5,79,20.249367088607595,32.2,8.154430379746836,0.012278481012658228,3,13,0,5.0,0,Crítico
